CancelID,RideID,PassengerUserID,DriverUserID,CanceledBy,CancelReason,CancelTime,CancellationFee_BDT
1,2,715,1094,Driver,Vehicle issue,2023-06-16T18:48:52,0
2,16,444,631,Passenger,No show,2023-12-29T21:33:45,30.5
3,18,1167,1429,Driver,No show,2023-02-07T19:06:02,0
4,28,1401,173,Passenger,No show,2023-04-07T10:41:09,0
5,30,455,1310,Passenger,Vehicle issue,2023-05-20T10:44:47,0
6,33,571,908,Passenger,Driver too far,2023-07-26T09:40:39,0
7,44,1370,1303,Driver,No show,2023-11-17T16:21:13,0
8,48,562,908,Driver,No show,2023-06-13T12:54:34,8.55
9,60,887,1156,Driver,Driver too far,2023-12-28T16:39:47,0
10,64,244,173,Passenger,Vehicle issue,2023-09-09T21:49:51,9.98
11,66,1241,582,Passenger,Changed mind,2023-10-08T15:09:26,0
12,68,384,1224,Driver,Changed mind,2023-03-13T20:36:10,0
13,80,1188,936,Accident,Accident,2023-02-21T21:11:26,0
14,107,1352,1211,Driver,Changed mind,2023-09-06T03:08:56,0
15,108,32,912,Passenger,No show,2023-11-13T00:59:23,5.9
16,115,511,1073,Passenger,Changed mind,2023-06-01T23:46:42,0
17,117,336,1108,Driver,No show,2023-03-21T03:13:17,0
18,142,1090,350,Passenger,Driver too far,2023-10-30T22:20:23,0
19,149,907,558,Passenger,No show,2023-01-09T02:08:13,0
20,150,97,22,Driver,Vehicle issue,2023-01-07T18:06:39,2.97
21,155,702,1429,Driver,Driver too far,2023-08-17T19:16:21,0
22,160,1269,957,Driver,Changed mind,2023-03-09T07:18:29,0
23,163,892,507,Driver,Vehicle issue,2023-10-21T13:06:34,0
24,168,1027,1079,Driver,Driver too far,2023-11-15T13:29:46,0
25,170,1421,667,Passenger,Changed mind,2023-06-01T22:09:52,0
26,172,973,667,Passenger,Vehicle issue,2023-01-04T13:01:18,0
27,173,1089,470,Driver,Vehicle issue,2023-03-09T18:26:43,0
28,178,1485,1211,Driver,No show,2023-05-27T15:46:24,15.66
29,182,268,319,Driver,Changed mind,2023-07-20T21:06:24,0
30,184,846,635,Driver,Vehicle issue,2023-01-23T00:00:58,0
31,186,1047,470,Driver,Driver too far,2023-11-09T21:19:53,0
32,187,274,667,Driver,Changed mind,2023-10-08T21:56:19,0
33,192,842,936,Accident,Accident,2023-09-13T09:07:58,0
34,199,1139,1224,Driver,Changed mind,2023-06-14T14:26:43,0
35,204,749,891,Accident,Accident,2023-10-06T23:14:16,3.31
36,206,794,936,Passenger,Driver too far,2023-04-25T04:52:58,0
37,215,866,712,Driver,Driver too far,2023-06-24T16:01:30,0
38,228,617,1106,Driver,Vehicle issue,2023-07-08T09:06:11,0
39,239,798,976,Passenger,Changed mind,2023-06-16T19:34:08,0
40,255,302,1,Driver,Vehicle issue,2023-06-19T19:25:08,0
41,258,73,987,Driver,Vehicle issue,2023-04-17T18:44:58,0
42,265,182,1079,Driver,Changed mind,2023-05-04T07:20:35,6.43
43,290,920,908,Driver,Changed mind,2023-11-05T05:19:20,0
44,305,517,1224,Driver,Driver too far,2023-10-08T09:58:32,8.49
45,307,934,363,Driver,Changed mind,2023-11-02T19:20:09,22.22
