RatingID,RideID,GivenByUserID,GivenToUserID,RatingValue,Comments,RatingDate
1,1,562,845,5,,2023-01-03T19:56:26
2,3,122,1124,5,,2023-12-06T01:53:17
3,4,1130,667,5,,2023-09-29T14:21:07
4,5,8,712,5,,2023-11-12T14:12:30
5,6,1012,1106,3,,2023-11-29T20:46:03
6,7,1217,319,5,,2023-11-29T18:04:44
7,8,243,936,5,,2023-09-15T08:34:19
8,9,339,1108,4,,2023-12-17T13:30:38
9,10,1044,507,4,,2023-11-05T23:23:28
10,11,809,987,5,,2023-09-07T08:55:34
11,12,244,1311,5,,2023-05-23T19:40:27
12,13,822,363,5,,2023-05-05T03:21:18
13,14,461,1293,4,,2023-09-22T01:54:53
14,15,1065,184,5,,2023-02-17T23:48:04
15,17,1404,269,4,,2023-01-09T09:24:28
16,19,938,184,3,,2023-07-07T08:46:57
17,20,312,277,5,,2023-06-15T21:19:49
18,21,718,1310,5,,2023-06-18T11:32:31
19,22,1471,319,5,,2023-09-18T11:48:41
20,23,26,908,5,,2023-02-15T07:13:54
21,24,1261,1079,5,,2023-05-30T02:48:55
22,25,1144,1079,5,,2023-06-07T10:23:15
23,26,1388,908,4,,2023-10-20T15:23:20
24,27,85,1284,5,,2023-08-12T09:05:37
25,29,747,1094,5,,2023-07-29T00:31:33
26,31,848,1224,3,,2023-02-02T08:23:03
27,32,1086,1094,5,,2023-03-05T17:00:32
28,34,469,277,4,,2023-02-10T18:53:46
29,35,1127,1124,5,,2023-09-30T00:54:07
30,36,1132,1073,4,,2023-08-19T22:14:54
31,37,266,259,4,,2023-05-28T02:43:41
32,38,387,1211,5,,2023-05-18T11:46:56
33,39,648,1105,5,,2023-10-27T06:27:40
34,40,289,936,3,,2023-07-13T08:27:50
35,41,732,1359,2,,2023-10-14T23:50:19
36,42,158,912,5,,2023-11-22T23:54:30
37,43,1148,533,5,,2023-11-30T03:45:58
38,45,1044,350,5,,2023-02-02T22:09:09
39,46,909,1079,5,,2023-07-28T07:53:56
40,47,13,1124,5,,2023-12-10T03:32:39
41,49,824,1284,5,,2023-02-12T14:54:01
42,50,18,363,5,,2023-07-06T11:54:23
43,51,594,533,4,,2023-02-14T16:45:50
44,52,399,1310,5,,2023-09-02T05:51:47
45,53,193,634,4,,2023-05-28T17:14:37
46,54,771,667,5,,2023-05-17T07:56:08
47,55,447,976,5,,2023-07-03T07:57:03
48,56,1175,533,4,,2023-12-01T18:26:57
49,57,1385,667,4,,2023-03-23T13:40:08
50,58,946,582,5,,2023-01-30T02:32:42
51,59,1172,905,5,,2023-04-09T01:47:29
52,61,842,1293,5,,2023-09-23T21:52:47
53,62,389,173,5,,2023-03-04T03:21:11
54,63,644,72,5,,2023-04-26T02:19:35
55,65,1301,976,5,,2023-05-07T01:50:07
56,67,568,59,5,,2023-08-14T21:41:58
57,69,344,1079,5,,2023-11-14T11:42:41
58,70,30,845,4,,2023-11-19T13:23:50
59,71,21,319,5,,2023-02-11T07:13:02
60,72,217,891,5,,2023-04-26T06:18:11
61,73,815,466,5,,2023-12-10T09:48:51
62,74,179,799,4,,2023-08-23T18:40:28
63,75,606,1124,5,,2023-12-06T23:21:22
64,76,312,277,4,,2023-06-23T11:38:10
65,77,306,507,5,,2023-05-06T11:25:33
66,78,293,622,5,,2023-09-12T00:02:42
67,79,815,507,5,,2023-08-14T15:20:34
68,81,1174,1105,3,,2023-04-05T04:15:22
69,82,788,634,5,,2023-09-30T09:54:17
70,83,166,1359,5,,2023-01-30T22:31:02
71,84,871,631,4,,2023-05-12T00:19:31
72,85,1067,269,4,,2023-01-05T05:18:35
73,86,897,269,5,,2023-04-16T13:38:00
74,87,831,1079,5,,2023-11-16T10:22:06
75,88,898,350,5,,2023-04-15T20:06:57
76,89,656,350,5,,2023-08-03T06:21:10
77,90,655,173,5,,2023-05-19T12:34:39
78,91,863,750,5,,2023-07-15T13:49:27
79,92,984,507,3,,2023-12-10T18:43:53
80,93,1097,631,5,,2023-08-25T09:52:28
81,94,1453,277,5,,2023-04-03T20:41:21
82,95,656,1073,5,,2023-12-03T22:03:59
83,96,1006,731,5,,2023-10-24T09:06:22
84,97,866,635,5,,2023-12-23T04:22:55
85,98,1452,799,5,,2023-08-30T00:35:20
86,99,846,470,5,,2023-03-28T15:00:19
87,100,228,1429,5,,2023-10-26T08:52:53
88,101,589,1224,1,,2023-01-15T20:55:02
89,102,767,319,5,,2023-06-17T00:55:47
90,103,959,1105,5,,2023-07-23T19:21:05
91,104,1010,891,4,,2023-09-25T12:25:55
92,105,164,631,3,,2023-09-17T09:59:41
93,106,974,259,5,,2023-07-13T23:13:15
94,109,869,1124,5,,2023-05-17T18:59:47
95,110,1155,363,4,,2023-05-29T04:27:40
96,111,210,507,5,,2023-11-10T00:22:10
97,112,446,72,5,,2023-10-29T17:03:55
98,113,1496,319,5,,2023-10-15T20:08:49
99,114,878,799,5,,2023-01-07T00:46:02
100,116,335,363,4,,2023-03-31T16:55:30
101,118,964,712,5,,2023-09-03T06:09:23
102,119,802,533,5,,2023-04-12T03:51:49
103,120,382,507,5,,2023-01-31T01:17:49
104,121,1033,712,5,,2023-01-30T15:18:08
105,122,1206,712,4,,2023-08-24T14:27:59
106,123,538,908,5,,2023-03-16T21:39:53
107,124,1471,1284,5,,2023-04-14T22:33:28
108,125,1088,1429,2,,2023-12-25T05:03:26
109,126,434,631,5,,2023-07-09T11:20:18
110,127,911,350,5,,2023-08-09T06:11:48
111,128,1375,1156,5,,2023-05-17T20:12:20
112,129,1399,912,5,,2023-05-25T11:12:30
113,130,1279,59,4,,2023-07-24T18:27:29
114,131,893,466,4,,2023-10-21T16:19:21
115,132,1227,1342,5,,2023-04-21T16:55:11
116,133,1123,799,4,,2023-05-12T00:45:05
117,134,101,1429,5,,2023-04-26T22:00:52
118,135,217,1342,5,,2023-03-28T23:58:54
119,136,782,22,5,,2023-12-17T15:32:25
120,137,158,731,5,,2023-05-08T21:35:06
121,138,1243,1105,4,,2023-09-05T08:30:20
122,139,1025,72,3,,2023-02-05T15:50:55
123,140,158,1293,5,,2023-01-24T10:15:42
124,141,1256,845,5,,2023-07-24T22:03:16
125,143,232,1359,5,,2023-01-07T10:48:38
126,144,915,1303,5,,2023-05-10T14:48:39
127,145,374,1094,5,,2023-04-18T04:11:50
128,146,1225,667,5,,2023-04-03T17:32:15
129,147,1471,667,5,,2023-07-12T08:24:03
130,148,1326,936,5,,2023-10-15T00:59:30
131,151,1041,750,5,,2023-05-17T05:48:58
132,152,1267,936,5,,2023-02-13T19:09:33
133,153,300,1124,5,,2023-07-13T08:08:57
134,154,1335,466,5,,2023-07-31T15:00:20
135,156,736,976,5,,2023-02-12T19:29:02
136,157,1188,1106,5,,2023-03-05T03:50:19
137,158,3,634,5,,2023-04-08T15:38:47
138,159,415,363,5,,2023-08-16T06:42:26
139,161,421,957,5,,2023-04-29T11:09:10
140,162,1476,1108,5,,2023-07-15T16:06:51
141,164,265,1429,4,,2023-09-18T05:36:28
142,165,614,1311,4,,2023-07-07T00:05:21
143,166,1051,1284,5,,2023-03-28T19:52:37
144,167,424,908,5,,2023-01-27T02:02:33
145,169,391,259,5,,2023-11-14T22:11:23
146,171,1200,277,5,,2023-01-05T06:53:37
147,174,834,470,5,,2023-12-22T19:23:49
148,175,1403,1156,5,,2023-04-11T16:14:41
149,176,489,582,3,,2023-09-16T08:42:54
150,177,369,631,5,,2023-12-13T14:30:59
151,179,425,750,5,,2023-03-04T23:26:03
152,180,763,533,3,,2023-06-08T11:43:26
153,181,437,1311,5,,2023-11-18T09:40:53
154,183,530,277,5,,2023-10-01T03:02:56
155,185,893,731,4,,2023-03-19T20:57:01
156,188,414,891,5,,2023-08-25T04:19:55
157,189,264,363,5,,2023-09-30T08:57:31
158,190,502,72,5,,2023-02-05T18:15:59
159,191,33,631,5,,2023-04-08T01:38:44
160,193,464,1211,5,,2023-10-04T23:06:21
161,194,870,905,5,,2023-08-30T12:27:54
162,195,444,908,5,,2023-05-25T15:04:34
163,196,638,22,5,,2023-02-02T19:54:04
164,197,915,891,5,,2023-01-21T07:43:42
165,198,921,363,3,,2023-10-31T22:46:43
166,200,1452,667,5,,2023-02-03T05:21:40
167,201,1294,173,4,,2023-02-18T06:40:11
168,202,124,1310,5,,2023-12-31T14:37:10
169,203,480,712,3,,2023-03-09T19:04:51
170,205,1214,912,5,,2023-11-19T00:29:29
171,207,664,1303,3,,2023-10-05T23:41:27
172,208,1383,507,5,,2023-01-31T00:54:41
173,209,1404,1156,5,,2023-07-22T02:01:58
174,210,243,184,4,,2023-04-04T14:44:57
175,211,1392,936,5,,2023-08-24T01:10:45
176,212,892,1303,5,,2023-02-27T15:21:29
177,213,556,845,5,,2023-08-04T09:25:55
178,214,619,908,3,,2023-05-11T19:18:50
179,216,1261,912,4,,2023-09-19T17:24:09
180,217,490,957,5,,2023-07-11T14:09:42
181,218,303,799,5,,2023-11-13T03:22:37
182,219,578,1293,5,,2023-06-20T11:15:02
183,220,436,1073,5,,2023-11-22T18:24:21
184,221,1037,1,5,,2023-11-16T09:55:24
185,222,252,1211,3,,2023-12-12T04:58:35
186,223,166,750,4,,2023-11-05T02:28:50
187,224,668,799,4,,2023-06-18T07:23:20
188,225,18,1359,5,,2023-02-23T03:46:51
189,226,419,712,5,,2023-12-07T03:54:37
190,227,440,905,5,,2023-03-11T04:10:08
191,229,607,1105,3,,2023-06-23T15:58:13
192,230,1038,1094,5,,2023-06-10T00:15:43
193,231,552,466,4,,2023-05-04T08:40:03
194,232,868,72,4,,2023-08-11T08:15:23
195,233,1149,1342,5,,2023-10-08T11:48:34
196,234,768,891,5,,2023-03-19T01:36:35
197,235,30,799,5,,2023-11-25T08:46:47
198,236,1464,1359,5,,2023-01-14T03:00:02
199,237,179,470,4,,2023-01-29T17:13:25
200,238,1288,957,5,,2023-11-01T18:47:10
201,240,834,912,5,,2023-10-24T05:01:58
202,241,230,987,3,,2023-05-01T15:53:36
