RideID,PassengerUserID,DriverUserID,DriverID,VehicleID,VehicleType,PickupDistrict,PickupStreet,DropoffDistrict,DropoffStreet,RequestedTime,StartTime,EndTime,DurationMin,DistanceKM,RawFare_BDT,DiscountPercent,DiscountAmount_BDT,FinalFare_BDT,CancellationFee_BDT,Commission_BDT,DriverEarning_BDT,PaymentMethod,PaymentStatus,RideStatus
1,562,845,49,49,Bike,Dhaka,Robinson Highway 639,Dhaka,Pearson Road 678,2023-01-03T19:18:46.565232,2023-01-03T19:21:26,2023-01-03T19:56:26,35,12.41,184.1,0,0,184.1,0,46.02,138.08,Card,Paid,Completed
2,715,1094,39,39,Bike,Dhaka,Jordan Road 348,Dhaka,Bass Access Rd 804,2023-06-16T18:46:08.860114,2023-06-16T18:47:52,,9,2.79,61.9,0.129,7.97,0,0,0,0,N/A,NoCharge,CancelledByDriver
3,122,1124,23,23,Bike,Dhaka,Reyes Street 127,Dhaka,Williams Highway 181,2023-12-06T01:36:36.979834,2023-12-06T01:40:17,2023-12-06T01:53:17,13,4.25,80.5,0,0,80.5,0,20.12,60.38,Pathao Pay,Paid,Completed
4,1130,667,18,18,Bike,Dhaka,Allen Street 18,Dhaka,Thomas Highway 733,2023-09-29T13:32:30.794483,2023-09-29T13:37:07,2023-09-29T14:21:07,44,15.34,222.4,0,0,222.4,0,55.6,166.8,Cash,Paid,Completed
5,8,712,41,41,Bike,Chattogram,Edwards Bazar 697,Chattogram,Berry Highway 497,2023-11-12T14:06:25.893472,2023-11-12T14:09:30,2023-11-12T14:12:30,3,1.1,39,0.171,6.67,32.33,0,8.08,24.25,Pathao Pay,Paid,Completed
6,1012,1106,43,43,Bike,Gazipur,Patrick Avenue 692,Gazipur,Mcclain Highway 367,2023-11-29T20:39:08.330731,2023-11-29T20:45:03,2023-11-29T20:46:03,1,0.34,29.4,0,0,29.4,0,7.35,22.05,Cash,Paid,Completed
7,1217,319,51,51,Car Lite,Dhaka,Martinez Avenue 95,Dhaka,Ward Access Rd 720,2023-11-29T17:54:48.753196,2023-11-29T17:58:44,2023-11-29T18:04:44,6,3,122,0,0,122,0,30.5,91.5,Card,Paid,Completed
8,243,936,31,31,Car Lite,Dhaka,Hill Access Rd 538,Dhaka,Welch Station Rd 177,2023-09-15T08:12:41.361313,2023-09-15T08:16:19,2023-09-15T08:34:19,18,9.07,267.4,0.286,76.49,190.91,0,47.73,143.18,Cash,Paid,Completed
9,339,1108,21,21,Bike,Chattogram,King Bazar 65,Chattogram,Casey Access Rd 360,2023-12-17T13:14:32.301747,2023-12-17T13:17:38,2023-12-17T13:30:38,13,4.72,85.2,0,0,85.2,0,21.3,63.9,Cash,Paid,Completed
10,1044,507,6,6,Bike,Dhaka,Leonard Bazar 457,Dhaka,Clarke Road 662,2023-11-05T22:53:39.203077,2023-11-05T22:58:28,2023-11-05T23:23:28,25,10.05,150.5,0,0,150.5,0,37.62,112.88,Pathao Pay,Paid,Completed
